Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,TIPUS_DOMICILI
2026-01-01,1,Ciutat Vella,1,el Raval,6,1014,9,9
2026-01-01,1,Ciutat Vella,1,el Raval,6,1014,3,10
2026-01-01,1,Ciutat Vella,1,el Raval,6,1014,41,11
2026-01-01,1,Ciutat Vella,1,el Raval,6,1014,82,12
2026-01-01,1,Ciutat Vella,1,el Raval,6,1015,83,1
2026-01-01,1,Ciutat Vella,1,el Raval,6,1015,113,2
2026-01-01,1,Ciutat Vella,1,el Raval,6,1015,52,3
2026-01-01,1,Ciutat Vella,1,el Raval,6,1015,26,4
2026-01-01,1,Ciutat Vella,1,el Raval,6,1015,134,5
2026-01-01,1,Ciutat Vella,1,el Raval,6,1015,18,6
2026-01-01,1,Ciutat Vella,1,el Raval,6,1015,34,7
2026-01-01,1,Ciutat Vella,1,el Raval,6,1015,222,8
2026-01-01,1,Ciutat Vella,1,el Raval,6,1015,9,9
2026-01-01,1,Ciutat Vella,1,el Raval,6,1015,5,10
2026-01-01,1,Ciutat Vella,1,el Raval,6,1015,76,11
2026-01-01,1,Ciutat Vella,1,el Raval,6,1015,103,12
2026-01-01,1,Ciutat Vella,1,el Raval,6,1016,83,1
2026-01-01,1,Ciutat Vella,1,el Raval,6,1016,105,2
2026-01-01,1,Ciutat Vella,1,el Raval,6,1016,35,3
2026-01-01,1,Ciutat Vella,1,el Raval,6,1016,16,4
2026-01-01,1,Ciutat Vella,1,el Raval,6,1016,130,5
2026-01-01,1,Ciutat Vella,1,el Raval,6,1016,17,6
2026-01-01,1,Ciutat Vella,1,el Raval,6,1016,19,7
2026-01-01,1,Ciutat Vella,1,el Raval,6,1016,176,8
2026-01-01,1,Ciutat Vella,1,el Raval,6,1016,16,9
2026-01-01,1,Ciutat Vella,1,el Raval,6,1016,1,10
2026-01-01,1,Ciutat Vella,1,el Raval,6,1016,63,11
2026-01-01,1,Ciutat Vella,1,el Raval,6,1016,100,12
2026-01-01,1,Ciutat Vella,1,el Raval,6,1017,91,1
2026-01-01,1,Ciutat Vella,1,el Raval,6,1017,116,2
2026-01-01,1,Ciutat Vella,1,el Raval,6,1017,31,3
