Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,LLOC_NAIX,SEXE
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,198,1,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,45,2,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,32,2,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,76,3,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,54,3,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,131,4,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,110,4,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,339,5,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,444,5,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,..,6,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,230,1,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,193,1,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,47,2,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,55,2,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,76,3,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,69,3,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,156,4,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,125,4,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,490,5,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,582,5,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,..,6,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,123,1,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,132,1,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,27,2,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,33,2,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,56,3,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,54,3,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,140,4,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,116,4,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,365,5,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,476,5,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,292,1,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,326,1,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,50,2,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,61,2,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,119,3,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,109,3,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,162,4,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,149,4,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,598,5,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,675,5,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,..,6,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,..,6,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,150,1,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,155,1,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,31,2,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,26,2,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,73,3,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,58,3,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,104,4,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,131,4,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,435,5,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,624,5,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,..,6,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,..,6,2
2026-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,249,1,1
2026-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,237,1,2
